Talkers,Noise,F1,F2,F3
AS4,NC,519.92,1531.84,2760.6451813471504
AS4,NC,509.35,1549.93,2670.688785046729
AS4,NC,525.14,1482.36,2642.6725376344084
AS4,NC,436.02,1689.55,2761.424632352941
AS4,NC,458.48,1709.93,2820.5898529411766
AS4,NC,517.14,1639.27,2699.588918269231
AS4,NC,472.65,1538.0,2698.0785046728975
AS4,NC,458.97,1565.18,2808.1569999999997
AS4,NC,468.55,1885.04,2749.8290434782607
AS4,NC,468.85,1450.87,2672.7044289693595
AS4,NC,530.29,1336.31,2770.832424242424
AS4,NC,450.98,1575.34,2759.6575132275134
AS4,NC,555.07,1537.58,2700.55140167364
AS4,NC,499.32,1605.74,2529.78318367347
AS4,NC,449.02,1478.06,2612.6985656565657
AS4,NC,521.63,1521.08,2556.4922535211267
AS4,NC,526.04,1620.65,2741.3832183908044
AS4,NC,508.14,1556.05,2550.1030208333336
AS4,NC,515.18,1499.6,2697.7425942350333
AS4,NC,533.39,1776.84,2901.6390789473685
AS4,NC,490.7,1500.52,2628.2527027027027
AS4,NC,517.52,1427.08,2546.084230769231
AS4,NC,481.63,1568.49,2591.1493630573245
AS4,NC,445.16,1489.05,2698.3119471947193
AS4,NC,475.29,1373.93,2653.090202020202
AS4,NC,483.34,1372.89,2699.236068965517
AS4,NC,506.45,1559.08,2835.9287323943663
AS4,NC,518.89,1607.24,2669.7022429906538
AS4,NC,488.82,1531.31,2600.7125
AS4,NC,458.07,1730.43,2813.7411931818183
AS4,NC,479.76,1180.37,2417.635485232067
AS4,NC,536.21,1357.71,2682.2990640394087
AS4,NC,522.1,1543.14,2521.09785942492
AS4,NC,469.28,1458.64,2643.7972494669507
AS4,NC,488.8,1545.07,2815.259126984127
AS4,NC,498.3,1403.59,2605.1412735849053
AS4,NC,499.95,1570.29,2696.545177993528
AS4,NC,510.51,1278.37,2420.5653380782924
AS4,NC,423.0,1482.89,2664.6932258064517
AS4,NC,508.99,1463.86,2661.9928695652175
AS4,NC,446.71,1491.66,2721.2894812680115
AS4,NC,488.77,1248.39,2559.9627800829876
AS4,NC,506.74,1452.17,2603.0702542372883
AS4,NC,522.83,1502.61,2507.0955445544555
AS4,NC,476.37,1483.52,2631.6431272727277
AS4,NC,621.58,1369.78,2365.8732
AS4,NC,501.14,1529.09,2473.670343347639
AS4,NC,490.57,1517.08,2440.6666425992776
AS4,NC,528.28,1578.84,2567.3156097560973
AS4,NC,450.62,1363.27,2415.3337125748503
AS4,NC,529.7,1568.8,2591.3256097560975
AS4,NC,462.97,1775.66,2661.813716381418
AS4,NC,459.75,1791.9,2720.612928176796
AS4,NC,425.17,1633.15,2667.6232051282054
AS4,NC,572.32,1498.48,2549.698518518519
AS4,NC,444.4,1154.14,2485.81883248731
AS4,NC,448.24,1682.17,2714.477987012987
AS4,NC,518.8,1522.4,2413.9029464285713
AS4,NC,417.8,1586.55,2649.2266013071894
AS4,NC,504.04,1362.66,2426.460248962656
AS4,NC,436.23,1471.74,2652.514405594405
AS4,NC,465.26,1474.41,2603.1941795665634
AS4,NC,490.2,1650.58,2580.9731560283685
AS4,NC,553.42,1528.92,2516.1893697478995
AS4,NC,551.1,1288.26,2488.0863829787236
AS4,NC,486.49,1707.64,2834.383333333333
AS4,NC,486.99,1480.9,2493.106890459364
AS4,NC,493.41,1555.44,2683.0138888888887
AS4,NC,455.99,1549.57,2600.411046511628
AS4,NC,461.38,1796.55,2710.045767441861
AS4,NC,531.32,1626.15,2446.156704980843
