Talkers,Noise,F1,F2,F3
C3,SSN,579.79,1563.51,2613.5381651376147
C3,SSN,577.76,1551.1,2626.0482075471696
C3,SSN,587.38,1534.56,2631.066494845361
C3,SSN,596.49,1702.76,2569.3375949367087
C3,SSN,613.34,1457.58,2524.1749230769233
C3,SSN,575.94,1482.01,2507.928764044944
C3,SSN,553.23,1527.93,2397.76293814433
C3,SSN,584.68,1469.99,2495.4434983498354
C3,SSN,544.19,1699.35,2567.3710426540288
C3,SSN,585.64,1431.31,2570.97797979798
C3,SSN,594.1,1306.31,2444.2075000000004
C3,SSN,613.38,1680.69,2646.9654022988507
C3,SSN,568.43,1553.28,2553.9344763513513
C3,SSN,626.05,1593.07,2501.7073728813557
C3,SSN,589.29,1407.78,2463.854935064935
C3,SSN,554.48,1698.55,2725.405294117647
C3,SSN,548.77,1411.17,2634.3954597701145
C3,SSN,487.11,1592.38,2672.9155629139073
C3,SSN,514.64,1390.74,2563.9152117263843
C3,SSN,640.02,1656.08,2531.884971590909
C3,SSN,526.57,1403.89,2588.383356643357
C3,SSN,571.99,1688.92,2629.576291390729
C3,SSN,512.74,1571.83,2572.9308294930875
C3,SSN,607.95,1506.64,2608.8852611940297
C3,SSN,534.59,1614.35,2589.154868421053
C3,SSN,562.1,1618.06,2610.1745149253734
C3,SSN,640.79,1438.52,2568.3484390243907
C3,SSN,530.8,1310.74,2450.702777777778
C3,SSN,613.27,1680.65,2697.175325443787
C3,SSN,533.36,1452.42,2554.226610169492
C3,SSN,639.49,1586.8,2539.3537912087913
C3,SSN,469.4,1383.17,2434.061818181818
C3,SSN,588.44,1614.0,2580.0190492957745
C3,SSN,550.48,1603.14,2678.7949668874176
C4,SSN,533.85,1500.08,2661.9613698630137
C4,SSN,507.2,1578.44,2682.6583478260877
C4,SSN,556.17,1724.88,2535.2276344086026
C4,SSN,456.92,1540.93,2573.7245263157897
C4,SSN,597.07,1451.38,2745.628787878788
C4,SSN,372.67,2023.17,2778.8093939393943
C4,SSN,505.58,1536.51,2689.6385903083697
C4,SSN,478.05,1637.3,2562.1380000000004
C4,SSN,546.54,2027.46,2749.729677419355
C4,SSN,528.45,1554.24,2624.1549397590366
C4,SSN,514.88,1748.83,2619.222580645161
C4,SSN,537.19,1863.13,2749.1291666666666
C4,SSN,563.55,1413.31,2658.682500000001
C4,SSN,544.01,1709.83,2756.615328467153
C4,SSN,478.39,1460.98,2565.536528189911
C4,SSN,549.22,1439.88,2658.2583146067414
C4,SSN,533.95,1687.89,2619.5485185185184
C4,SSN,587.24,1658.45,2695.3754918032787
C4,SSN,617.75,1757.43,2669.393666666667
C4,SSN,563.56,1450.72,2623.938625
C4,SSN,490.4,1472.14,2521.5729059829064
C4,SSN,475.23,1219.26,2511.4731782945737
C4,SSN,384.39,1144.7,2289.888309859154
C4,SSN,538.41,1749.81,2731.5522510822507
C4,SSN,526.14,1707.75,2726.6600000000003
C4,SSN,556.99,1678.98,2568.992307692308
C4,SSN,455.25,1416.8,2566.7989999999995
C4,SSN,473.3,1767.28,2667.317197802198
C4,SSN,500.85,1667.64,2605.7253125
C4,SSN,514.77,1691.25,2724.948777777778
C4,SSN,454.6,1970.23,2721.4555102040817
C4,SSN,572.8,1622.96,2772.422857142857
C4,SSN,524.86,1155.45,2608.9630434782607
C4,SSN,515.6,1735.08,2648.0762962962963
C4,SSN,518.06,1629.02,2609.9136363636367
C4,SSN,542.12,1973.39,2703.825081967213
C4,SSN,576.28,1676.41,2750.3941304347823
C4,SSN,641.39,1549.34,2765.4044827586204
C4,SSN,591.85,1555.44,2758.6349122807023
C4,SSN,518.58,1712.89,2800.659609375
C4,SSN,482.57,1362.71,2598.0859310344827
C4,SSN,513.24,1726.7,2680.8407
C4,SSN,479.87,1633.74,2703.4361951219507
C4,SSN,557.8,1661.5,2660.097
C4,SSN,567.8,1580.8,2636.6880434782606
C4,SSN,438.2,1752.47,2631.8718840579704
C4,SSN,505.02,1796.64,2657.343580246914
C4,SSN,549.83,1547.53,2627.168113207547
C4,SSN,378.65,1886.13,2693.151428571429
C4,SSN,545.01,1559.64,2564.946277777778
C4,SSN,504.4,1407.68,2590.0148181818176
C4,SSN,514.96,1642.6,2718.814736842105
C4,SSN,509.49,1592.15,2644.005395683453
C4,SSN,499.07,1884.7,2640.3186813186812
C4,SSN,496.58,1962.17,2768.618024691358
C4,SSN,537.42,1757.16,2664.5330569948187
C4,SSN,509.07,1556.8,2643.857142857143
C4,SSN,573.89,1533.38,2568.974696969697
C4,SSN,518.82,1666.53,2699.167
C4,SSN,484.87,1765.34,2615.0709615384617
C4,SSN,487.25,1727.19,2694.4041004184105
C4,SSN,527.67,1313.86,2461.2413636363635
C4,SSN,534.1,1861.23,2700.977083333333
C4,SSN,416.16,1839.33,2775.1194999999993
C4,SSN,553.49,1774.12,2550.48619047619
C4,SSN,520.37,1682.81,2745.323186813187
C4,SSN,510.03,1620.75,2594.555267175572
C4,SSN,529.47,1753.96,2626.4571126760566
C4,SSN,496.16,1599.05,2638.398714285715
C4,SSN,480.26,1730.04,2653.782822822823
C4,SSN,482.72,1953.05,2688.6127433628317
C4,SSN,594.34,1486.98,2649.4192473118283
C4,SSN,591.86,1315.1,2708.7873214285714
C4,SSN,401.1,1634.72,2466.657096774193
C4,SSN,532.81,1771.59,2616.1458783783783
C4,SSN,502.48,1622.14,2591.0872891566264
C4,SSN,568.49,1305.85,2587.008062015504
C4,SSN,524.75,1829.6,2600.315921052632
C4,SSN,487.31,1534.39,2507.626629213483
C4,SSN,475.66,1740.86,2649.958372093023
C4,SSN,555.28,1737.26,2622.914943820225
C4,SSN,518.33,1417.24,2660.666530612245
C4,SSN,540.26,1561.42,2625.093730569948
C4,SSN,570.12,1628.3,2654.1724705882357
C4,SSN,429.33,1882.56,2662.875921052632
C4,SSN,541.36,1492.51,2670.099147286822
C4,SSN,502.1,1632.13,2615.5311274509804
C4,SSN,533.44,1580.62,2706.5273648648654
C4,SSN,511.5,1637.48,2639.0917592592596
C4,SSN,499.11,1532.23,2579.3292631578943
C4,SSN,531.79,1719.59,2714.948229166667
C4,SSN,581.01,1646.48,2648.884748201439
C4,SSN,562.65,1764.09,2777.322935779817
C4,SSN,551.44,1686.7,2677.437692307692
C4,SSN,544.53,1827.83,2614.8233823529413
C4,SSN,489.39,1858.41,2726.186868686869
C4,SSN,555.0,1560.79,2592.3155656108597
C4,SSN,621.43,1483.05,2682.062380952381
C4,SSN,433.45,1951.36,2722.762424242424
C4,SSN,535.61,1584.82,2659.467974683545
C4,SSN,498.08,1797.72,2754.4849137931033
C4,SSN,524.29,1395.13,2748.039024390244
C4,SSN,560.29,1804.89,2689.142650602409
C4,SSN,488.77,1890.08,2675.167659574468
C4,SSN,503.9,1587.61,2678.4030894308944
C4,SSN,434.83,2018.27,2762.735641025641
